project_name,client_name,business_unit,stage,status,start_date,end_date,contract_value,billing_rate,planned_hours
Project 0590,Client 001,Digital Ventures,In Delivery,Active,2026-05-29,2027-02-19,1592850,350,4551
Project 0591,Client 038,X Build,Closed Won,Completed,2026-04-26,2026-10-04,636200,200,3181
Project 0592,Client 071,Digital Ventures,Prospect,Active,2024-09-10,2024-11-29,126600,150,844
Project 0593,Client 068,Digital Ventures,Closed Won,Completed,2026-06-17,2026-12-22,300600,300,1002
Project 0594,Client 063,X Design,In Delivery,Active,2025-11-21,2026-03-21,570900,150,3806
Project 0595,Client 049,X Design,Closed Won,Completed,2025-02-23,2025-08-11,976850,350,2791
Project 0596,Client 006,Digital Ventures,Qualified,Active,2026-01-24,2026-08-08,464250,150,3095
Project 0597,Client 042,Digital Ventures,Closed Won,Completed,2024-12-03,2025-10-19,129150,150,861
Project 0598,Client 037,Digital Ventures,Closed Won,Completed,2025-05-25,2026-05-04,1256800,400,3142
Project 0599,Client 023,X Build,Prospect,Active,2025-04-17,2025-10-05,1148700,300,3829
Project 0600,Client 018,X Design,Prospect,Active,2025-06-01,2025-12-11,1360450,350,3887
Project 0601,Client 032,X Design,Prospect,Active,2024-11-25,2025-09-15,1833600,400,4584
Project 0602,Client 073,X Design,Closed Won,Completed,2026-05-02,2026-12-09,985800,200,4929
Project 0603,Client 015,X Design,In Delivery,Active,2026-04-20,2026-11-12,981200,400,2453
Project 0604,Client 033,X Design,Closed Lost,Active,2026-04-10,2026-11-30,913500,350,2610
Project 0605,Client 001,X Design,Closed Won,Completed,2026-03-03,2026-09-19,488400,200,2442
Project 0606,Client 064,X Build,Prospect,Active,2025-02-11,2025-12-12,153300,350,438
Project 0607,Client 013,X Build,Qualified,Active,2026-08-08,2026-12-16,577400,200,2887
Project 0608,Client 062,X Build,Closed Won,Completed,2026-02-13,2026-12-10,355600,350,1016
Project 0609,Client 029,X Build,Closed Won,Completed,2025-08-03,2026-04-26,157500,350,450
Project 0610,Client 056,X Build,Qualified,Active,2024-10-26,2025-03-07,205050,150,1367
Project 0611,Client 071,X Design,In Delivery,Active,2025-04-13,2025-10-07,273150,150,1821
Project 0612,Client 003,Digital Ventures,In Delivery,Active,2025-06-22,2026-05-18,171600,200,858
Project 0613,Client 051,X Design,Prospect,Active,2026-01-05,2026-07-29,725550,150,4837
Project 0614,Client 057,Digital Ventures,Prospect,Active,2024-09-08,2025-07-03,1112400,400,2781
Project 0615,Client 066,X Build,Prospect,Active,2024-10-09,2025-02-27,460800,150,3072
Project 0616,Client 093,Digital Ventures,Closed Won,Completed,2026-01-16,2026-07-17,774600,300,2582
Project 0617,Client 060,Digital Ventures,Qualified,Active,2025-01-28,2025-08-07,101250,250,405
Project 0618,Client 002,X Design,In Delivery,Active,2025-07-07,2026-04-27,716500,250,2866
Project 0619,Client 048,X Build,Closed Won,Completed,2025-04-30,2026-01-21,261000,300,870
Project 0620,Client 096,X Design,In Delivery,Active,2025-08-22,2026-08-11,89800,200,449
Project 0621,Client 044,X Build,Closed Won,Completed,2026-01-26,2026-10-04,1269100,350,3626
Project 0622,Client 095,Digital Ventures,Qualified,Active,2026-01-17,2026-10-18,504450,150,3363
Project 0623,Client 086,X Design,Qualified,Active,2025-04-27,2026-02-25,200600,200,1003
Project 0624,Client 054,Digital Ventures,Prospect,Active,2025-11-29,2026-10-21,666750,350,1905
Project 0625,Client 076,X Design,Prospect,Active,2024-12-27,2025-10-04,230800,200,1154
Project 0626,Client 012,Digital Ventures,In Delivery,Active,2025-03-29,2025-11-21,521700,150,3478
Project 0627,Client 038,X Build,Closed Won,Completed,2025-08-21,2025-12-20,1981200,400,4953
Project 0628,Client 001,X Design,Qualified,Active,2026-01-15,2026-05-15,731250,250,2925
Project 0629,Client 013,Digital Ventures,Qualified,Active,2025-08-12,2026-01-28,1557850,350,4451
Project 0630,Client 070,X Design,In Delivery,Active,2026-01-30,2027-01-03,1136100,350,3246
Project 0631,Client 037,Digital Ventures,In Delivery,Active,2025-03-03,2026-01-13,60450,150,403
Project 0632,Client 060,X Design,Qualified,Active,2025-01-11,2025-03-16,1175000,250,4700
Project 0633,Client 029,Digital Ventures,In Delivery,Active,2026-06-30,2027-03-03,472350,150,3149
Project 0634,Client 075,X Build,Closed Lost,Active,2025-12-10,2026-10-29,905000,200,4525
Project 0635,Client 020,Digital Ventures,In Delivery,Active,2024-10-06,2024-12-31,1615600,400,4039
Project 0636,Client 095,Digital Ventures,Closed Won,Completed,2025-05-24,2026-01-01,459900,350,1314
Project 0637,Client 021,Digital Ventures,Qualified,Active,2025-05-23,2026-01-24,454200,150,3028
Project 0638,Client 031,X Design,Qualified,Active,2025-01-04,2025-08-17,1681050,350,4803
Project 0639,Client 058,Digital Ventures,Closed Won,Completed,2024-09-29,2025-06-22,1111200,300,3704
Project 0640,Client 068,X Build,Closed Won,Completed,2025-09-20,2025-12-13,679200,200,3396
Project 0641,Client 061,Digital Ventures,In Delivery,Active,2025-06-01,2025-10-12,54500,250,218
Project 0642,Client 028,X Build,In Delivery,Active,2024-12-11,2025-08-10,614500,250,2458
Project 0643,Client 042,X Design,In Delivery,Active,2025-02-09,2025-12-11,1341900,350,3834
Project 0644,Client 055,X Design,In Delivery,Active,2026-02-17,2026-09-19,1145750,250,4583
Project 0645,Client 089,X Build,Qualified,Active,2024-11-18,2025-03-16,454300,350,1298
Project 0646,Client 065,Digital Ventures,Prospect,Active,2026-06-22,2027-05-07,279250,250,1117
Project 0647,Client 050,X Design,Qualified,Active,2026-05-24,2026-12-11,1880400,400,4701
Project 0648,Client 012,X Design,Closed Won,Completed,2026-07-13,2027-04-05,143500,250,574
Project 0649,Client 094,X Build,In Delivery,Active,2026-02-22,2026-07-21,867000,300,2890
Project 0650,Client 075,Digital Ventures,Prospect,Active,2025-06-13,2025-09-06,150600,150,1004
Project 0651,Client 055,X Design,Prospect,Active,2024-11-23,2025-05-17,918200,200,4591
Project 0652,Client 053,Digital Ventures,In Delivery,Active,2025-12-29,2026-07-31,968100,350,2766
Project 0653,Client 095,Digital Ventures,Qualified,Active,2026-01-03,2026-10-28,1342200,300,4474
Project 0654,Client 053,Digital Ventures,In Delivery,Active,2025-08-24,2026-07-25,500500,350,1430
Project 0655,Client 098,X Design,Qualified,Active,2025-09-09,2025-11-18,811200,200,4056
Project 0656,Client 088,X Design,Qualified,Active,2025-11-22,2026-03-11,563400,200,2817
Project 0657,Client 072,Digital Ventures,Prospect,Active,2024-11-25,2025-11-15,838750,250,3355
Project 0658,Client 010,Digital Ventures,Closed Won,Completed,2025-02-03,2025-06-02,108150,350,309
Project 0659,Client 026,X Design,Qualified,Active,2026-07-20,2026-12-27,292600,350,836
Project 0660,Client 011,X Design,Closed Won,Completed,2024-11-21,2025-02-19,1784400,400,4461
Project 0661,Client 024,Digital Ventures,Closed Won,Completed,2025-12-02,2026-06-07,1080000,400,2700
Project 0662,Client 095,X Design,Prospect,Active,2025-12-21,2026-09-29,512400,150,3416
Project 0663,Client 009,X Design,Closed Won,Completed,2026-02-22,2026-12-04,823550,350,2353
Project 0664,Client 015,Digital Ventures,Closed Won,Completed,2025-08-19,2026-01-31,177400,200,887
Project 0665,Client 020,X Design,In Delivery,Active,2026-07-24,2026-10-31,1740900,350,4974
Project 0666,Client 083,Digital Ventures,Prospect,Active,2025-06-04,2025-09-09,156600,150,1044
Project 0667,Client 068,Digital Ventures,Prospect,Active,2025-06-12,2026-06-01,868600,200,4343
Project 0668,Client 060,X Design,Closed Won,Completed,2026-01-08,2026-05-24,1076950,350,3077
Project 0669,Client 025,X Build,Closed Won,Completed,2025-02-20,2025-07-01,1381500,300,4605
Project 0670,Client 053,X Design,In Delivery,Active,2026-04-27,2027-01-31,1384800,400,3462
Project 0671,Client 038,Digital Ventures,Closed Won,Completed,2024-09-04,2025-02-06,653100,350,1866
Project 0672,Client 010,Digital Ventures,In Delivery,Active,2025-02-27,2025-08-04,901200,400,2253
Project 0673,Client 052,X Build,Closed Won,Completed,2025-12-13,2026-08-19,359100,350,1026
Project 0674,Client 045,Digital Ventures,Prospect,Active,2025-01-06,2025-03-19,1013600,400,2534
Project 0675,Client 024,X Design,In Delivery,Active,2024-09-07,2025-08-05,142500,300,475
Project 0676,Client 059,X Design,Qualified,Active,2025-10-01,2026-08-20,1761600,400,4404
Project 0677,Client 016,Digital Ventures,Closed Won,Completed,2025-05-09,2026-01-12,516000,300,1720
Project 0678,Client 096,X Design,In Delivery,Active,2025-11-12,2026-01-23,138150,150,921
Project 0679,Client 021,Digital Ventures,Qualified,Active,2026-03-07,2026-08-07,263400,200,1317
Project 0680,Client 095,X Build,In Delivery,Active,2026-02-26,2026-11-14,51300,150,342
Project 0681,Client 054,Digital Ventures,Prospect,Active,2025-10-21,2026-05-05,706800,150,4712
Project 0682,Client 009,Digital Ventures,Prospect,Active,2026-05-19,2027-02-10,746500,250,2986
Project 0683,Client 062,X Build,In Delivery,Active,2026-06-14,2027-01-14,1403200,400,3508
Project 0684,Client 043,Digital Ventures,In Delivery,Active,2026-04-08,2026-09-17,1325200,400,3313
Project 0685,Client 006,X Design,Closed Won,Completed,2025-06-27,2025-10-20,532600,200,2663
Project 0686,Client 049,Digital Ventures,Prospect,Active,2024-09-12,2025-07-01,173000,250,692
Project 0687,Client 083,Digital Ventures,Qualified,Active,2026-05-02,2026-09-01,355600,350,1016
Project 0688,Client 028,X Design,Qualified,Active,2026-03-31,2026-11-29,188800,400,472
Project 0689,Client 086,X Design,In Delivery,Active,2025-12-24,2026-04-30,1147000,250,4588
Project 0690,Client 032,X Build,Closed Won,Completed,2025-11-29,2026-03-26,789400,200,3947
Project 0691,Client 099,X Design,Closed Won,Completed,2026-06-03,2027-02-03,1178800,400,2947
Project 0692,Client 004,X Design,Prospect,Active,2024-12-24,2025-09-17,432200,200,2161
Project 0693,Client 025,Digital Ventures,Prospect,Active,2025-11-11,2026-05-31,1329600,300,4432
Project 0694,Client 026,X Design,In Delivery,Active,2024-12-03,2025-04-14,589200,400,1473
Project 0695,Client 080,X Build,Prospect,Active,2026-02-11,2027-01-19,1556450,350,4447
Project 0696,Client 026,Digital Ventures,Prospect,Active,2024-10-01,2025-01-12,713250,150,4755
Project 0697,Client 087,Digital Ventures,Qualified,Active,2026-04-07,2026-10-15,519600,200,2598
Project 0698,Client 003,X Design,Prospect,Active,2025-01-24,2025-08-29,220350,150,1469
Project 0699,Client 015,X Design,In Delivery,Active,2025-05-13,2026-05-01,330800,400,827
Project 0700,Client 088,X Build,Qualified,Active,2026-07-31,2027-07-02,469600,400,1174
Project 0701,Client 018,X Build,Qualified,Active,2026-05-05,2026-10-02,347550,150,2317
Project 0702,Client 010,X Build,Closed Won,Completed,2025-02-19,2025-12-17,743250,250,2973
Project 0703,Client 005,X Design,Closed Won,Completed,2025-01-29,2025-10-07,995750,250,3983
Project 0704,Client 093,X Build,In Delivery,Active,2026-06-30,2027-04-22,178500,350,510
Project 0705,Client 051,X Design,Prospect,Active,2025-06-02,2026-02-04,599800,200,2999
Project 0706,Client 094,X Build,Closed Won,Completed,2024-09-07,2025-06-13,841200,200,4206
Project 0707,Client 052,X Build,Prospect,Active,2025-12-21,2026-03-21,383800,200,1919
Project 0708,Client 063,X Design,In Delivery,Active,2026-05-06,2027-03-10,166950,350,477
Project 0709,Client 099,X Build,Qualified,Active,2026-08-03,2027-03-16,705000,150,4700
Project 0710,Client 013,X Build,Closed Won,Completed,2025-03-14,2025-08-10,593700,150,3958
Project 0711,Client 035,X Design,Closed Won,Completed,2025-06-22,2026-05-09,1916400,400,4791
Project 0712,Client 013,X Build,Prospect,Active,2024-11-08,2025-10-16,94850,350,271
Project 0713,Client 069,X Design,Qualified,Active,2026-06-26,2026-08-30,303750,250,1215
Project 0714,Client 090,X Design,Prospect,Active,2026-07-30,2026-10-02,90900,150,606
Project 0715,Client 078,X Build,Prospect,Active,2025-12-19,2026-03-02,241650,150,1611
Project 0716,Client 035,X Build,Qualified,Active,2025-01-27,2025-11-21,1212750,250,4851
Project 0717,Client 048,X Build,In Delivery,Active,2024-10-19,2025-04-18,641700,300,2139
Project 0718,Client 099,X Build,Qualified,Active,2026-07-06,2026-11-07,899500,250,3598
Project 0719,Client 068,Digital Ventures,In Delivery,Active,2025-05-19,2026-03-13,540400,400,1351
Project 0720,Client 066,Digital Ventures,Prospect,Active,2025-11-14,2026-09-06,944800,200,4724
Project 0721,Client 045,X Design,Prospect,Active,2026-03-19,2026-12-04,1107750,250,4431
Project 0722,Client 057,Digital Ventures,Closed Won,Completed,2025-08-19,2026-01-28,1132500,300,3775
Project 0723,Client 039,X Design,Prospect,Active,2026-02-09,2026-11-16,700200,200,3501
Project 0724,Client 004,X Build,Closed Won,Completed,2025-09-09,2026-03-09,1018500,350,2910
Project 0725,Client 040,X Design,Closed Won,Completed,2026-04-01,2027-02-25,97400,200,487
Project 0726,Client 063,Digital Ventures,In Delivery,Active,2026-01-25,2026-03-31,392800,200,1964
Project 0727,Client 070,Digital Ventures,Closed Won,Completed,2025-07-05,2026-04-04,251250,150,1675
Project 0728,Client 087,X Design,Closed Won,Completed,2025-03-28,2025-08-10,1700400,400,4251
Project 0729,Client 047,X Build,In Delivery,Active,2026-06-03,2026-12-04,208000,200,1040
Project 0730,Client 025,X Design,Qualified,Active,2025-12-31,2026-11-03,648750,150,4325
Project 0731,Client 041,X Build,Closed Won,Completed,2025-10-15,2026-03-17,486400,400,1216
Project 0732,Client 085,X Build,In Delivery,Active,2026-05-18,2026-07-27,63000,200,315
Project 0733,Client 002,X Build,Closed Won,Completed,2025-06-03,2025-10-04,472500,150,3150
Project 0734,Client 018,Digital Ventures,Qualified,Active,2025-12-27,2026-10-25,816500,250,3266
Project 0735,Client 048,X Design,Prospect,Active,2025-08-26,2026-06-20,832400,400,2081
Project 0736,Client 079,Digital Ventures,In Delivery,Active,2024-11-21,2025-10-29,466800,300,1556
Project 0737,Client 013,X Design,Closed Won,Completed,2025-01-27,2025-04-08,840800,400,2102
Project 0738,Client 085,X Build,Prospect,Active,2025-08-14,2026-07-31,682200,150,4548
Project 0739,Client 076,X Build,Prospect,Active,2024-12-03,2025-07-25,915300,300,3051
Project 0740,Client 037,X Build,Prospect,Active,2026-02-26,2026-08-28,409150,350,1169
Project 0741,Client 077,X Design,Qualified,Active,2025-06-15,2026-05-15,1809200,400,4523
Project 0742,Client 025,X Design,Qualified,Active,2025-11-13,2026-06-08,682200,300,2274
Project 0743,Client 018,X Build,Qualified,Active,2026-01-13,2026-12-10,1667600,400,4169
Project 0744,Client 013,Digital Ventures,Closed Won,Completed,2025-05-11,2025-08-12,61000,250,244
Project 0745,Client 019,X Design,In Delivery,Active,2025-08-23,2026-06-09,834300,300,2781
Project 0746,Client 032,X Design,Qualified,Active,2026-03-30,2026-06-06,540900,150,3606
Project 0747,Client 022,X Design,Qualified,Active,2025-01-15,2025-08-27,446000,400,1115
Project 0748,Client 009,X Design,Prospect,Active,2025-01-13,2026-01-05,714200,200,3571
Project 0749,Client 035,X Build,In Delivery,Active,2025-04-22,2025-11-26,1218750,250,4875
Project 0750,Client 032,X Design,In Delivery,Active,2024-12-26,2025-08-23,665500,250,2662
