project_name,month,actual_hours,actual_revenue,actual_cost
Project 0395,2024-10-01,53.84,15865.91,9936.73
Project 0395,2024-11-01,50.64,20256.55,12661.75
Project 0395,2024-12-01,48.11,21466.93,15006.78
Project 0395,2025-01-01,48.52,20068.93,13801.37
Project 0395,2025-02-01,52.57,19177.7,11741.13
Project 0395,2025-03-01,51.11,20945.43,13668.07
Project 0395,2025-04-01,48.5,19925.64,14674.65
Project 0395,2025-05-01,53.38,17101.44,11684.1
Project 0395,2025-06-01,61.34,15876.14,11640.48
Project 0395,2025-07-01,54.49,17023.91,10154.2
Project 0395,2025-08-01,49.47,20849.9,12912.88
Project 0395,2025-09-01,55.59,19387.5,10916.98
Project 0395,2025-10-01,53.87,21715.95,13879.32
Project 0395,2025-11-01,67.48,16476.24,10022.27
Project 0395,2025-12-01,53.31,15484.13,11563.74
Project 0395,2026-01-01,45.96,16337.21,10874.62
Project 0395,2026-02-01,65.66,17847.14,12428.34
Project 0395,2026-03-01,59.72,16596.29,9235.62
Project 0395,2026-04-01,63.57,18302.56,11585.37
Project 0395,2026-05-01,46.74,16143.19,11634.91
Project 0395,2026-06-01,54.0,21337.21,12436.06
Project 0395,2026-07-01,59.23,21923.45,14147.88
Project 0395,2026-08-01,49.51,20331.68,13540.86
Project 0396,2024-09-01,78.31,7364.06,5041.35
Project 0396,2024-10-01,119.29,6578.61,3958.61
Project 0396,2024-11-01,90.94,7291.55,4637.23
Project 0396,2024-12-01,115.43,5794.56,3413.47
Project 0396,2025-01-01,97.41,7291.84,5228.37
Project 0396,2025-02-01,83.15,5913.28,3908.63
Project 0396,2025-03-01,93.04,6481.26,4423.87
Project 0396,2025-04-01,104.76,5520.61,3270.14
Project 0396,2025-05-01,117.47,5599.01,3594.34
Project 0396,2025-06-01,81.23,7070.17,3969.85
Project 0396,2025-07-01,91.23,6447.44,3552.42
Project 0396,2025-08-01,86.95,5725.01,3479.1
Project 0396,2025-09-01,95.87,7334.79,5030.83
Project 0396,2025-10-01,113.24,5342.66,3195.26
Project 0396,2025-11-01,79.29,6016.58,3802.11
Project 0396,2025-12-01,94.02,7276.91,5324.67
Project 0396,2026-01-01,80.03,7311.39,4467.66
Project 0396,2026-02-01,78.61,7411.03,5211.15
Project 0396,2026-03-01,111.32,7401.78,5172.09
Project 0396,2026-04-01,106.7,7255.53,4604.5
Project 0396,2026-05-01,112.09,5445.51,3980.95
Project 0396,2026-06-01,100.81,6486.24,4090.6
Project 0396,2026-07-01,77.95,7286.9,4918.0
Project 0396,2026-08-01,81.85,7404.06,5492.58
Project 0397,2024-09-01,232.25,62912.48,40421.85
Project 0397,2024-10-01,212.85,51605.68,31672.37
Project 0397,2024-11-01,229.79,45521.61,30816.82
Project 0397,2024-12-01,153.26,48205.85,33488.76
Project 0397,2025-01-01,186.82,60691.02,34362.02
Project 0397,2025-02-01,177.4,56742.71,32842.08
Project 0397,2025-03-01,193.43,54069.79,35326.72
Project 0397,2025-04-01,193.66,60132.79,43903.44
Project 0397,2025-05-01,208.1,60478.51,33950.85
Project 0397,2025-06-01,230.15,60925.86,38079.24
Project 0397,2025-07-01,176.02,54374.46,30065.99
Project 0397,2025-08-01,162.88,53471.38,31369.79
Project 0397,2025-09-01,226.81,53495.75,38459.51
Project 0397,2025-10-01,193.5,62862.01,41514.18
Project 0397,2025-11-01,212.31,60097.67,35251.16
Project 0397,2025-12-01,232.19,51899.7,30061.63
Project 0397,2026-01-01,186.39,48248.43,35606.13
Project 0397,2026-02-01,209.99,46400.96,26746.65
Project 0397,2026-03-01,198.17,54342.54,30351.68
Project 0397,2026-04-01,221.57,62650.25,38252.42
Project 0397,2026-05-01,181.62,46725.95,34056.45
Project 0397,2026-06-01,181.94,46765.77,30344.48
Project 0397,2026-07-01,174.9,44835.9,30000.9
Project 0397,2026-08-01,227.11,50464.67,37210.28
Project 0398,2024-09-01,35.3,3321.8,2246.07
Project 0398,2024-10-01,28.05,3593.4,2014.95
Project 0398,2024-11-01,30.47,3838.29,2559.45
Project 0398,2024-12-01,29.61,3544.85,2489.62
Project 0398,2025-01-01,31.48,3838.72,2785.25
Project 0398,2025-02-01,39.45,2882.7,1954.54
Project 0398,2025-03-01,30.63,3494.23,2174.7
Project 0398,2025-04-01,34.27,3892.75,2603.77
Project 0398,2025-05-01,34.28,3923.87,2462.83
Project 0398,2025-06-01,41.16,3871.92,2404.18
Project 0398,2025-07-01,41.97,3505.04,1966.66
Project 0398,2025-08-01,35.06,2832.48,1722.85
Project 0398,2025-09-01,38.27,3492.69,1969.23
Project 0398,2025-10-01,31.35,3858.72,2416.6
Project 0398,2025-11-01,40.06,3194.51,1866.01
Project 0398,2025-12-01,42.1,2818.92,2103.27
Project 0398,2026-01-01,27.21,3097.87,2104.02
Project 0398,2026-02-01,41.61,3573.83,2178.94
Project 0398,2026-03-01,36.6,3014.82,1998.02
Project 0398,2026-04-01,40.76,3658.2,2421.54
Project 0398,2026-05-01,36.32,2966.79,1853.71
Project 0398,2026-06-01,41.91,3335.43,2204.68
Project 0398,2026-07-01,33.92,2966.27,1766.97
Project 0398,2026-08-01,38.08,2949.02,1992.69
Project 0399,2024-09-01,231.09,66040.35,40578.07
Project 0399,2024-10-01,217.91,56318.06,40418.29
Project 0399,2024-11-01,289.47,72823.19,49608.13
Project 0399,2024-12-01,217.56,67365.45,38086.54
Project 0399,2025-01-01,237.99,68892.87,48350.04
Project 0399,2025-02-01,290.88,64001.59,40290.43
Project 0399,2025-03-01,278.7,62132.33,39087.53
Project 0399,2025-04-01,188.99,74892.58,51564.94
Project 0399,2025-05-01,201.85,55934.75,38595.82
Project 0399,2025-06-01,208.46,61103.87,43402.4
Project 0399,2025-07-01,210.79,76680.3,47038.7
Project 0399,2025-08-01,272.78,71171.84,53366.95
Project 0399,2025-09-01,245.27,60715.89,35021.16
Project 0399,2025-10-01,190.86,62079.39,36761.41
Project 0399,2025-11-01,203.5,66248.1,48220.44
Project 0399,2025-12-01,189.03,71082.53,51559.02
Project 0399,2026-01-01,239.45,77417.55,47450.93
Project 0399,2026-02-01,195.38,60480.86,39211.06
Project 0399,2026-03-01,239.66,55419.6,33280.01
Project 0399,2026-04-01,230.57,65533.65,40042.56
Project 0399,2026-05-01,236.49,64874.22,46497.84
Project 0399,2026-06-01,232.14,70026.13,51192.49
Project 0399,2026-07-01,194.13,72160.42,41907.11
Project 0399,2026-08-01,219.99,56167.62,35786.04
Project 0400,2024-09-01,68.24,16330.51,9040.43
Project 0400,2024-10-01,56.69,15885.91,11747.55
Project 0400,2024-11-01,49.12,14789.86,8555.23
Project 0400,2024-12-01,56.16,16423.56,11510.1
Project 0400,2025-01-01,49.27,15270.69,9580.45
Project 0400,2025-02-01,56.55,18547.68,13293.6
Project 0400,2025-03-01,53.29,15553.68,10964.92
Project 0400,2025-04-01,51.99,14603.72,8177.53
Project 0400,2025-05-01,55.85,14478.52,9120.23
Project 0400,2025-06-01,58.49,15841.07,10524.52
Project 0400,2025-07-01,62.01,14487.79,8943.47
Project 0400,2025-08-01,60.53,17675.39,11680.85
Project 0400,2025-09-01,54.64,17391.37,11058.24
Project 0400,2025-10-01,56.97,16790.88,10726.88
Project 0400,2025-11-01,53.45,14973.95,10328.9
Project 0400,2025-12-01,48.41,13404.06,9915.81
Project 0400,2026-01-01,56.88,14473.68,10420.13
Project 0400,2026-02-01,70.18,13379.6,7501.91
Project 0400,2026-03-01,46.67,14379.15,9402.58
Project 0400,2026-04-01,67.92,18899.23,12812.72
Project 0400,2026-05-01,68.72,14464.72,10139.12
Project 0400,2026-06-01,67.03,14940.94,10838.61
Project 0400,2026-07-01,48.54,17465.94,13044.42
Project 0400,2026-08-01,63.08,13823.86,7908.7
Project 0401,2024-09-01,132.86,45047.15,29384.29
Project 0401,2024-10-01,145.3,34789.47,25666.55
Project 0401,2024-11-01,114.76,44993.79,28150.44
Project 0401,2024-12-01,141.17,36041.16,25832.35
Project 0401,2025-01-01,132.48,42695.91,26750.4
Project 0401,2025-02-01,123.0,41501.71,23678.62
Project 0401,2025-03-01,118.56,35690.47,22142.25
Project 0401,2025-04-01,118.33,45501.03,32472.47
Project 0401,2025-05-01,150.76,39813.29,23251.62
Project 0401,2025-06-01,121.01,34402.84,23511.34
Project 0401,2025-07-01,168.94,42822.06,26962.42
Project 0401,2025-08-01,140.43,38787.33,23426.76
Project 0401,2025-09-01,164.29,36899.46,22831.33
Project 0401,2025-10-01,130.03,44534.49,27521.27
Project 0401,2025-11-01,117.24,40175.13,29505.12
Project 0401,2025-12-01,153.14,43847.07,32781.17
Project 0401,2026-01-01,136.72,32491.85,23448.35
Project 0401,2026-02-01,111.05,38378.63,22319.13
Project 0401,2026-03-01,152.98,38393.53,22365.42
Project 0401,2026-04-01,111.53,38590.74,24910.33
Project 0401,2026-05-01,148.47,44913.21,28660.51
Project 0401,2026-06-01,123.52,34556.51,19534.87
Project 0401,2026-07-01,115.6,42746.15,26792.85
Project 0401,2026-08-01,155.81,42851.09,28517.68
Project 0402,2024-09-01,79.62,4867.29,2847.28
Project 0402,2024-10-01,90.78,4805.0,2660.95
Project 0402,2024-11-01,104.0,5253.78,3231.9
Project 0402,2024-12-01,101.3,4061.3,2516.83
Project 0402,2025-01-01,106.93,4329.09,2665.12
Project 0402,2025-02-01,96.56,4125.78,2952.79
Project 0402,2025-03-01,112.46,5341.5,3387.49
Project 0402,2025-04-01,112.5,5241.46,3364.53
Project 0402,2025-05-01,106.09,4437.01,3242.99
Project 0402,2025-06-01,88.27,5550.18,4113.99
Project 0402,2025-07-01,88.96,4744.59,3547.43
Project 0402,2025-08-01,105.68,5389.46,3928.85
Project 0402,2025-09-01,94.77,5055.0,3738.73
Project 0402,2025-10-01,89.31,5535.01,3436.57
Project 0402,2025-11-01,111.29,4546.01,3219.62
Project 0402,2025-12-01,95.84,5568.86,3883.46
Project 0402,2026-01-01,85.29,5353.53,3608.87
Project 0402,2026-02-01,107.86,4827.09,3326.28
Project 0402,2026-03-01,89.18,5278.69,3131.7
Project 0402,2026-04-01,91.32,5265.76,3199.02
Project 0402,2026-05-01,78.59,4467.81,3148.15
Project 0402,2026-06-01,99.63,5112.36,3543.98
Project 0402,2026-07-01,88.5,4529.68,3272.51
Project 0402,2026-08-01,84.19,4613.7,3228.71
Project 0403,2024-09-01,122.55,48719.12,27060.69
Project 0403,2024-10-01,138.51,60514.83,35240.91
Project 0403,2024-11-01,164.77,56560.37,37080.62
Project 0403,2024-12-01,132.13,43004.36,25743.28
Project 0403,2025-01-01,141.73,54304.04,33730.81
Project 0403,2025-02-01,145.82,54529.04,39876.98
Project 0403,2025-03-01,141.03,53568.22,38287.03
Project 0403,2025-04-01,124.53,46239.07,32677.82
Project 0403,2025-05-01,134.88,50697.9,36878.44
Project 0403,2025-06-01,159.47,53815.5,38314.9
Project 0403,2025-07-01,150.15,44707.89,33106.34
Project 0403,2025-08-01,155.05,51398.08,34094.74
Project 0403,2025-09-01,121.51,46284.16,29472.21
Project 0403,2025-10-01,140.75,51453.15,38126.79
Project 0403,2025-11-01,133.09,44340.45,28950.3
Project 0403,2025-12-01,140.82,60375.66,42568.17
Project 0403,2026-01-01,144.7,56401.79,32495.36
Project 0403,2026-02-01,124.32,46542.71,25958.35
Project 0403,2026-03-01,147.45,49524.66,28667.51
Project 0403,2026-04-01,153.48,45730.17,26699.59
Project 0403,2026-05-01,170.4,44992.39,24878.41
Project 0403,2026-06-01,111.5,48524.66,34821.77
Project 0403,2026-07-01,112.31,53321.66,35889.34
Project 0403,2026-08-01,140.28,44764.94,30613.96
Project 0404,2024-09-01,85.01,7252.46,4652.32
Project 0404,2024-10-01,103.88,9538.36,6494.62
Project 0404,2024-11-01,90.68,9356.95,6786.19
Project 0404,2024-12-01,89.21,8100.88,5824.81
Project 0404,2025-01-01,67.14,9545.32,5448.38
Project 0404,2025-02-01,87.72,9584.31,7169.43
Project 0404,2025-03-01,97.16,9171.55,5752.62
Project 0404,2025-04-01,88.84,7577.31,5499.66
Project 0404,2025-05-01,84.07,8972.13,6286.23
Project 0404,2025-06-01,100.75,8866.95,5344.21
Project 0404,2025-07-01,83.99,7165.47,4458.47
Project 0404,2025-08-01,66.49,9714.48,7156.43
Project 0404,2025-09-01,68.14,9655.54,7028.4
Project 0404,2025-10-01,95.19,8212.63,4647.12
Project 0404,2025-11-01,89.19,9655.92,7046.3
Project 0404,2025-12-01,86.52,8815.01,5152.37
Project 0404,2026-01-01,84.09,7340.19,5314.95
Project 0404,2026-02-01,103.98,7153.28,5187.43
Project 0404,2026-03-01,75.78,7979.58,5860.2
Project 0404,2026-04-01,79.35,7177.09,4067.85
Project 0404,2026-05-01,89.58,9650.72,5956.77
Project 0404,2026-06-01,83.01,7630.77,4336.38
Project 0404,2026-07-01,85.54,9459.7,6574.68
Project 0404,2026-08-01,85.27,7506.42,4445.43
Project 0405,2024-09-01,88.72,20262.89,11745.19
Project 0405,2024-10-01,90.44,15418.39,8818.23
Project 0405,2024-11-01,80.26,18514.7,10934.57
Project 0405,2024-12-01,79.15,18794.76,12251.14
Project 0405,2025-01-01,90.94,17281.44,9796.4
Project 0405,2025-02-01,70.61,17797.02,12808.28
Project 0405,2025-03-01,88.43,16402.03,11027.13
Project 0405,2025-04-01,82.35,20646.33,13653.35
Project 0405,2025-05-01,81.25,20165.13,14496.88
Project 0405,2025-06-01,78.88,15253.84,10868.95
Project 0405,2025-07-01,90.79,20473.7,13735.32
Project 0405,2025-08-01,67.86,21424.89,12531.24
Project 0405,2025-09-01,96.24,15146.08,9384.58
Project 0405,2025-10-01,63.58,19909.86,12139.79
Project 0405,2025-11-01,79.92,19007.01,11243.59
Project 0405,2025-12-01,65.31,17947.07,11818.88
Project 0405,2026-01-01,83.83,15564.95,9044.35
Project 0405,2026-02-01,66.02,18505.56,11661.13
Project 0405,2026-03-01,88.06,17230.04,11685.97
Project 0405,2026-04-01,93.87,21053.3,14632.02
Project 0405,2026-05-01,83.44,19965.6,13742.97
Project 0405,2026-06-01,72.44,18963.74,11760.13
Project 0405,2026-07-01,86.79,18686.18,11795.16
Project 0405,2026-08-01,77.62,15863.66,11780.95
Project 0406,2024-09-01,122.83,11759.06,8778.24
Project 0406,2024-10-01,135.06,12521.82,9050.79
Project 0406,2024-11-01,94.64,12346.87,7231.66
Project 0406,2024-12-01,138.71,12472.48,7544.48
Project 0406,2025-01-01,98.89,15111.97,11242.74
Project 0406,2025-02-01,122.01,12133.12,6842.33
Project 0406,2025-03-01,100.39,12161.62,6697.2
Project 0406,2025-04-01,119.97,11489.45,7215.19
Project 0406,2025-05-01,123.96,14150.97,10045.21
Project 0406,2025-06-01,131.58,14830.49,9485.76
Project 0406,2025-07-01,115.32,12204.26,8018.51
Project 0406,2025-08-01,117.25,12225.17,6982.48
Project 0406,2025-09-01,127.8,11838.82,6944.25
Project 0406,2025-10-01,104.31,11406.03,7119.76
Project 0406,2025-11-01,108.78,12297.49,7107.74
Project 0406,2025-12-01,101.67,11530.02,7268.51
Project 0406,2026-01-01,130.12,12332.07,8078.78
Project 0406,2026-02-01,118.3,13460.1,8476.56
Project 0406,2026-03-01,91.51,15364.19,9113.54
Project 0406,2026-04-01,134.72,12091.02,8872.07
Project 0406,2026-05-01,110.95,14732.07,10797.5
Project 0406,2026-06-01,123.0,11215.38,8270.72
Project 0406,2026-07-01,103.83,14303.05,9919.18
Project 0406,2026-08-01,95.31,12138.57,8417.42
Project 0407,2024-09-01,256.7,75861.95,50095.59
Project 0407,2024-10-01,248.43,89446.6,49275.57
Project 0407,2024-11-01,257.28,97492.93,65006.3
Project 0407,2024-12-01,311.99,99692.7,57618.35
Project 0407,2025-01-01,327.46,82456.03,57930.96
Project 0407,2025-02-01,246.12,89025.35,51511.9
Project 0407,2025-03-01,338.72,81788.71,54542.08
Project 0407,2025-04-01,351.3,71721.55,48126.94
Project 0407,2025-05-01,298.99,97649.26,63280.66
Project 0407,2025-06-01,341.03,82827.38,58014.47
Project 0407,2025-07-01,281.6,92604.78,62712.54
Project 0407,2025-08-01,356.45,80764.67,45310.86
Project 0407,2025-09-01,255.41,71506.91,42222.87
Project 0407,2025-10-01,251.26,71504.28,43704.22
Project 0407,2025-11-01,352.02,73417.2,41170.42
Project 0407,2025-12-01,361.5,98288.78,58155.2
Project 0407,2026-01-01,255.94,72547.34,48013.11
Project 0407,2026-02-01,284.91,88840.01,54136.15
Project 0407,2026-03-01,283.54,86703.68,63888.81
Project 0407,2026-04-01,271.7,82122.02,47564.5
Project 0407,2026-05-01,286.44,89787.69,52773.52
Project 0407,2026-06-01,283.85,78834.6,53226.5
Project 0407,2026-07-01,342.46,75722.06,46264.4
Project 0407,2026-08-01,331.71,85374.4,56238.17
Project 0408,2024-09-01,183.36,48491.59,36014.22
Project 0408,2024-10-01,183.3,45148.38,27507.95
Project 0408,2024-11-01,215.4,38300.63,23076.25
Project 0408,2024-12-01,173.43,53372.04,35006.62
Project 0408,2025-01-01,231.79,49696.29,28888.06
Project 0408,2025-02-01,235.03,53807.47,39955.81
Project 0408,2025-03-01,232.46,51624.15,34576.09
Project 0408,2025-04-01,202.06,51503.07,33870.65
Project 0408,2025-05-01,242.96,46852.37,26747.03
Project 0408,2025-06-01,179.0,50850.03,31641.2
Project 0408,2025-07-01,185.92,38923.05,29120.38
Project 0408,2025-08-01,214.06,44129.83,25336.82
Project 0408,2025-09-01,228.04,52772.74,33102.17
Project 0408,2025-10-01,193.06,43330.3,27308.99
Project 0408,2025-11-01,242.47,41843.08,29796.85
Project 0408,2025-12-01,241.67,42005.48,23233.48
Project 0408,2026-01-01,205.2,44801.43,24977.57
Project 0408,2026-02-01,177.65,40247.28,27933.44
Project 0408,2026-03-01,210.07,53056.43,35151.6
Project 0408,2026-04-01,185.84,46427.63,33220.96
Project 0408,2026-05-01,175.17,46493.56,26843.81
Project 0408,2026-06-01,156.36,53809.3,39640.66
Project 0408,2026-07-01,212.99,41189.26,25138.08
Project 0408,2026-08-01,202.89,51741.59,29917.58
Project 0409,2024-09-01,71.7,26330.89,19147.41
Project 0409,2024-10-01,89.34,31450.69,17626.55
Project 0409,2024-11-01,95.21,29514.1,20867.65
Project 0409,2024-12-01,84.12,24794.37,17332.87
Project 0409,2025-01-01,63.34,28849.18,16067.18
Project 0409,2025-02-01,69.53,33213.31,20784.68
Project 0409,2025-03-01,84.48,31744.74,23608.98
Project 0409,2025-04-01,85.09,24507.23,13882.02
Project 0409,2025-05-01,64.77,23552.37,15858.88
Project 0409,2025-06-01,75.79,30517.76,17065.96
Project 0409,2025-07-01,63.58,30083.64,17398.73
Project 0409,2025-08-01,72.4,28831.95,18537.52
Project 0409,2025-09-01,66.15,30094.13,21927.1
Project 0409,2025-10-01,61.37,29315.22,19808.02
Project 0409,2025-11-01,84.91,28322.99,20018.88
Project 0409,2025-12-01,95.18,33223.98,21925.28
Project 0409,2026-01-01,61.39,29336.12,21211.02
Project 0409,2026-02-01,82.52,23846.56,13585.75
Project 0409,2026-03-01,65.47,26495.78,15300.75
Project 0409,2026-04-01,71.62,24319.31,15436.2
Project 0409,2026-05-01,75.84,28336.33,18552.88
Project 0409,2026-06-01,82.49,32409.41,17937.22
Project 0409,2026-07-01,72.69,25332.67,18741.33
Project 0409,2026-08-01,85.2,24355.15,13556.53
Project 0410,2024-09-01,66.78,2763.28,1709.88
Project 0410,2024-10-01,70.37,2833.97,1596.19
Project 0410,2024-11-01,56.08,2935.58,2180.44
Project 0410,2024-12-01,49.61,3213.17,2363.23
Project 0410,2025-01-01,48.62,2605.39,1715.18
Project 0410,2025-02-01,65.35,3153.63,2071.34
Project 0410,2025-03-01,72.07,2899.14,2070.31
Project 0410,2025-04-01,51.55,3113.99,2223.24
Project 0410,2025-05-01,72.66,3167.35,1826.29
Project 0410,2025-06-01,72.32,3131.37,2011.96
Project 0410,2025-07-01,72.22,3150.27,2077.59
Project 0410,2025-08-01,46.91,3114.41,2036.61
Project 0410,2025-09-01,49.85,2651.91,1834.38
Project 0410,2025-10-01,70.35,2425.79,1585.38
Project 0410,2025-11-01,53.09,3061.39,1795.32
Project 0410,2025-12-01,52.53,2639.34,1907.98
Project 0410,2026-01-01,68.97,3206.54,2234.88
Project 0410,2026-02-01,60.36,3056.5,1843.37
Project 0410,2026-03-01,49.99,3121.0,2035.56
Project 0410,2026-04-01,59.75,2588.76,1575.99
Project 0410,2026-05-01,59.72,2440.8,1431.2
Project 0410,2026-06-01,56.56,2553.16,1588.98
Project 0410,2026-07-01,61.34,3289.62,2371.53
Project 0410,2026-08-01,55.84,2538.21,1677.93
Project 0411,2024-09-01,135.66,6936.52,4732.65
Project 0411,2024-10-01,143.32,8360.63,4978.12
Project 0411,2024-11-01,134.86,8621.19,6333.58
Project 0411,2024-12-01,189.32,9185.17,5438.86
Project 0411,2025-01-01,194.07,6548.79,4052.35
Project 0411,2025-02-01,145.31,7383.86,4422.25
Project 0411,2025-03-01,191.99,8590.21,6075.09
Project 0411,2025-04-01,147.19,8418.29,5550.96
Project 0411,2025-05-01,134.46,7174.98,4118.86
Project 0411,2025-06-01,129.19,8218.23,6119.71
Project 0411,2025-07-01,137.2,9332.29,5930.3
Project 0411,2025-08-01,195.4,8685.55,6325.38
Project 0411,2025-09-01,132.56,7225.57,4391.31
Project 0411,2025-10-01,152.41,7744.59,5458.18
Project 0411,2025-11-01,188.43,7234.2,4305.27
Project 0411,2025-12-01,158.76,7528.75,4579.32
Project 0411,2026-01-01,155.99,8680.71,6314.39
Project 0411,2026-02-01,188.52,9241.63,6048.88
Project 0411,2026-03-01,142.0,7950.99,5314.88
Project 0411,2026-04-01,132.23,9210.73,6452.04
Project 0411,2026-05-01,197.68,8974.13,5536.61
Project 0411,2026-06-01,143.01,7512.32,5317.32
Project 0411,2026-07-01,145.75,6899.3,4202.04
Project 0411,2026-08-01,156.87,7567.37,5008.13
Project 0412,2024-09-01,168.5,60879.48,42971.42
Project 0412,2024-10-01,157.43,55759.58,39705.02
Project 0412,2024-11-01,209.98,44732.7,31006.8
Project 0412,2024-12-01,170.99,56004.52,37224.71
Project 0412,2025-01-01,201.43,57363.18,40777.25
Project 0412,2025-02-01,170.8,55975.91,32500.25
Project 0412,2025-03-01,211.74,54923.57,31771.34
Project 0412,2025-04-01,148.66,46317.87,30400.73
Project 0412,2025-05-01,189.83,53235.26,32643.97
Project 0412,2025-06-01,212.29,51080.25,29951.38
Project 0412,2025-07-01,203.91,46821.0,33869.38
Project 0412,2025-08-01,226.33,49434.67,27759.31
Project 0412,2025-09-01,186.45,45258.04,31440.63
Project 0412,2025-10-01,194.44,50007.75,27790.01
Project 0412,2025-11-01,168.11,51720.71,33787.79
Project 0412,2025-12-01,211.18,52925.45,34823.27
Project 0412,2026-01-01,192.33,54590.19,40837.59
Project 0412,2026-02-01,211.39,57928.69,39128.04
Project 0412,2026-03-01,176.73,52973.22,37441.13
Project 0412,2026-04-01,150.73,46596.26,32134.39
Project 0412,2026-05-01,223.89,45753.73,32216.86
Project 0412,2026-06-01,174.13,54363.84,36836.31
Project 0412,2026-07-01,172.2,52003.5,38431.41
Project 0412,2026-08-01,211.2,46074.46,32713.22
Project 0413,2024-09-01,377.72,41880.42,27514.39
Project 0413,2024-10-01,419.06,41472.86,29144.11
Project 0413,2024-11-01,368.48,39776.28,22206.45
Project 0413,2024-12-01,393.09,32132.75,20219.0
Project 0413,2025-01-01,378.09,37417.18,23862.14
Project 0413,2025-02-01,405.57,32604.44,23860.22
Project 0413,2025-03-01,307.18,39528.25,25993.38
Project 0413,2025-04-01,384.55,40374.3,25755.32
Project 0413,2025-05-01,341.74,33248.89,19897.18
Project 0413,2025-06-01,384.2,32099.92,20925.2
Project 0413,2025-07-01,338.05,39073.8,25091.82
Project 0413,2025-08-01,445.69,38369.27,23780.28
Project 0413,2025-09-01,361.27,33425.63,23223.29
Project 0413,2025-10-01,375.6,42006.61,29929.21
Project 0413,2025-11-01,294.01,35575.48,25928.91
Project 0413,2025-12-01,310.24,33317.86,24962.82
Project 0413,2026-01-01,309.9,34061.95,20856.42
Project 0413,2026-02-01,301.92,36215.0,22472.28
Project 0413,2026-03-01,437.92,38220.33,24059.22
Project 0413,2026-04-01,391.95,36871.2,20800.91
Project 0413,2026-05-01,399.87,33995.02,23699.03
Project 0413,2026-06-01,288.57,34172.6,18841.85
Project 0413,2026-07-01,378.06,36529.12,24151.0
Project 0413,2026-08-01,438.8,38904.6,29101.96
Project 0414,2024-09-01,204.67,80326.49,46444.69
Project 0414,2024-10-01,209.95,71804.01,53850.26
Project 0414,2024-11-01,229.89,64887.04,48651.53
Project 0414,2024-12-01,227.55,83129.5,50022.03
Project 0414,2025-01-01,178.63,61562.43,43583.74
Project 0414,2025-02-01,184.97,64357.22,42636.73
Project 0414,2025-03-01,207.29,77065.42,57504.42
Project 0414,2025-04-01,202.28,61802.41,40226.21
Project 0414,2025-05-01,205.67,69360.61,47488.15
Project 0414,2025-06-01,166.14,79565.1,56530.36
Project 0414,2025-07-01,169.37,86502.51,54784.47
Project 0414,2025-08-01,170.39,75235.01,48953.68
Project 0414,2025-09-01,242.76,67035.26,42882.06
Project 0414,2025-10-01,162.4,88228.87,50777.14
Project 0414,2025-11-01,237.24,73391.71,48515.24
Project 0414,2025-12-01,196.49,81167.64,45299.85
Project 0414,2026-01-01,215.51,78894.27,44518.9
Project 0414,2026-02-01,201.24,66067.69,42238.89
Project 0414,2026-03-01,193.22,81707.52,55778.46
Project 0414,2026-04-01,216.51,80416.77,53816.92
Project 0414,2026-05-01,217.6,83140.05,59597.85
Project 0414,2026-06-01,172.57,78595.02,48091.43
Project 0414,2026-07-01,166.69,70356.58,48437.78
Project 0414,2026-08-01,211.51,77476.92,50027.11
Project 0415,2024-09-01,114.98,20639.74,11749.16
Project 0415,2024-10-01,131.55,21662.87,12382.11
Project 0415,2024-11-01,131.09,19074.93,10603.27
Project 0415,2024-12-01,116.22,19672.51,10821.42
Project 0415,2025-01-01,135.05,22459.04,14901.96
Project 0415,2025-02-01,175.27,18849.45,13116.13
Project 0415,2025-03-01,128.23,19370.54,11187.67
Project 0415,2025-04-01,144.08,22239.75,13263.62
Project 0415,2025-05-01,139.96,23386.76,15404.83
Project 0415,2025-06-01,168.95,22935.66,15540.99
Project 0415,2025-07-01,176.72,23160.57,17069.87
Project 0415,2025-08-01,140.42,19223.42,11497.54
Project 0415,2025-09-01,122.42,22782.67,14148.42
Project 0415,2025-10-01,153.34,16748.02,11416.73
Project 0415,2025-11-01,162.63,18493.66,11582.72
Project 0415,2025-12-01,176.98,18951.3,12654.51
Project 0415,2026-01-01,178.75,18517.97,11620.21
Project 0415,2026-02-01,161.79,21403.69,13579.77
Project 0415,2026-03-01,130.13,20587.15,13240.92
Project 0415,2026-04-01,150.25,18944.66,12957.73
Project 0415,2026-05-01,165.25,21156.9,11812.02
Project 0415,2026-06-01,127.88,17250.46,12888.86
Project 0415,2026-07-01,174.89,22515.91,13609.02
Project 0415,2026-08-01,150.74,20863.96,13851.67
Project 0416,2024-09-01,300.73,109659.31,75165.1
Project 0416,2024-10-01,286.01,112247.0,82967.22
Project 0416,2024-11-01,348.25,102374.24,71230.46
Project 0416,2024-12-01,290.73,104097.49,71138.96
Project 0416,2025-01-01,383.13,86645.71,50843.66
Project 0416,2025-02-01,379.34,93515.35,54922.34
Project 0416,2025-03-01,358.32,89669.29,53824.68
Project 0416,2025-04-01,277.26,86917.43,63247.62
Project 0416,2025-05-01,342.96,93694.01,58936.14
Project 0416,2025-06-01,265.67,93029.45,69254.69
Project 0416,2025-07-01,261.56,102486.25,60442.57
Project 0416,2025-08-01,321.8,98330.37,57656.93
Project 0416,2025-09-01,355.39,93599.41,59294.88
Project 0416,2025-10-01,253.03,83509.87,53268.08
